date,1,2,3,4,5,6,7,OT
24.2,223.87,60453,65539,0.72098,0.82523,0.19529,0.50355,0.015465
24.4,67.162,60498,65592,0.72538,0.72351,0.19633,0.50663,0.032763
24.6,445.62,60540,65641,0.72963,0.72841,0.19627,0.5096,0.049979
24.8,281.61,60561,65671,0.73387,0.76764,0.19585,0.51257,0.067269
25,182.83,60572,65690,0.7381,0.80397,0.19547,0.51553,0.08488
25.2,54.848,60578,65703,0.74232,0.81174,0.19538,0.51849,0.10275
25.4,264.23,60581,65715,0.74652,0.80575,0.19544,0.52142,0.12142
25.6,201.07,60582,65723,0.75072,0.81502,0.19533,0.52436,0.14038
25.8,154.07,60583,65732,0.75487,0.79985,0.19548,0.52727,0.16038
26,123.79,60588,65746,0.75902,0.80387,0.19543,0.53017,0.18051
26.2,37.137,60599,65764,0.76317,0.79236,0.19554,0.53308,0.20077
26.4,204.9,60613,65786,0.76729,0.7945,0.19551,0.53596,0.22149
26.6,172.27,60628,65809,0.77139,0.78745,0.19558,0.53883,0.24241
26.8,145.54,60641,65831,0.77547,0.80059,0.19543,0.54168,0.26351
27,126.05,60652,65850,0.7795,0.78604,0.19557,0.54451,0.28543
27.2,112.77,60658,65863,0.78349,0.77833,0.19565,0.5473,0.30762
27.4,104.1,60661,65874,0.78752,0.79209,0.1955,0.55012,0.3298
27.6,100.85,60663,65884,0.79157,0.79781,0.19543,0.55296,0.35212
27.8,99.477,60668,65897,0.79565,0.78485,0.19555,0.55581,0.37468
28,98.028,60677,65914,0.79972,0.7771,0.19563,0.55866,0.39754
28.2,96.435,60690,65935,0.80412,0.82459,0.19513,0.56175,0.41529
28.4,100.13,60704,65958,0.80874,0.83956,0.19497,0.56498,0.43233
28.6,104.41,60717,65980,0.81341,0.8436,0.19491,0.56825,0.44924
28.8,109.25,60729,66000,0.81806,0.84073,0.19493,0.57151,0.46686
29,111.5,60738,66017,0.82268,0.84503,0.19488,0.57474,0.48508
29.2,112.34,60744,66032,0.82724,0.84611,0.19486,0.57793,0.50446
29.4,111.49,60749,66046,0.83174,0.86957,0.19461,0.58109,0.52479
29.6,112,60756,66060,0.83619,0.86707,0.19463,0.5842,0.54615
29.8,109.03,60764,66078,0.84062,0.87555,0.19453,0.5873,0.5677
30,110.63,60776,66098,0.84503,0.88243,0.19445,0.59039,0.58969
30.2,110.67,60789,66119,0.84937,0.89123,0.19435,0.59343,0.61246
30.4,114.14,60801,66140,0.85368,0.8897,0.19436,0.59645,0.63558
30.6,116.71,60813,66159,0.858,0.89781,0.19427,0.59947,0.65872
30.8,116.35,60822,66177,0.86234,0.90818,0.19415,0.60251,0.68167
31,114.45,60829,66192,0.86673,0.92839,0.19393,0.60558,0.70427
31.2,117.47,60835,66207,0.87116,0.93402,0.19387,0.60869,0.72684
31.4,119.27,60843,66223,0.87561,0.94426,0.19375,0.61181,0.74975
31.6,121.04,60852,66241,0.88002,0.94633,0.19372,0.6149,0.77397
31.8,119.49,60863,66260,0.88436,0.94153,0.19376,0.61794,0.79883
32,118.39,60874,66280,0.88868,0.94461,0.19372,0.62096,0.82367
32.2,117.01,60886,66301,0.89331,0.99862,0.19316,0.6242,0.84346
32.4,123.59,60897,66321,0.89813,1.021,0.19292,0.62758,0.86269
32.6,130.62,60907,66340,0.90295,1.0339,0.19277,0.63096,0.88244
32.8,136.57,60917,66358,0.90773,1.0346,0.19276,0.63431,0.90323
33,143.28,60926,66376,0.91245,1.024,0.19286,0.63761,0.92505
33.2,144.35,60937,66396,0.91708,1.0184,0.19291,0.64086,0.94832
33.4,144.54,60949,66416,0.92166,1.0205,0.19287,0.64406,0.97227
33.6,142.69,60961,66438,0.92619,1.0102,0.19297,0.64724,0.99712
33.8,142.11,60974,66459,0.93065,0.99747,0.1931,0.65036,1.0234
34,138.7,60987,66480,0.93506,0.99217,0.19314,0.65345,1.0498
34.2,137.84,60998,66501,0.93946,0.99606,0.19309,0.65654,1.0764
34.4,138.53,61009,66520,0.94387,0.99871,0.19306,0.65963,1.103
34.6,141.95,61018,66538,0.9483,1.0042,0.19299,0.66273,1.1296
34.8,146.11,61028,66557,0.95272,1.0075,0.19295,0.66583,1.1566
35,148.4,61038,66575,0.95712,0.9883,0.19314,0.66891,1.1845
35.2,147.13,61049,66595,0.96146,0.97004,0.19332,0.67195,1.2134
35.4,151.12,61061,66616,0.96577,0.96692,0.19334,0.67497,1.2425
35.6,149.87,61073,66637,0.97007,0.97568,0.19324,0.67799,1.2717
35.8,151.45,61085,66657,0.97437,0.98141,0.19318,0.681,1.3012
36,147.14,61096,66677,0.97862,0.98151,0.19317,0.68398,1.3316
36.2,143.75,61107,66697,0.98302,1.0212,0.19275,0.68706,1.3596
36.4,142.5,61118,66716,0.98749,1.0119,0.19284,0.6902,1.3884
36.6,146.31,61129,66736,0.99197,1.0167,0.19278,0.69333,1.4172
36.8,152.1,61140,66756,0.99644,1.0161,0.19278,0.69646,1.4467
37,154.87,61151,66776,1.0009,1.0129,0.1928,0.69956,1.4771
37.2,153.11,61164,66797,1.0052,1.011,0.19281,0.70262,1.5078
37.4,153.35,61176,66819,1.0095,1.0144,0.19277,0.70564,1.5395
37.6,154.03,61188,66840,1.0138,1.0114,0.19279,0.70863,1.5719
37.8,152.07,61200,66860,1.0181,1.0247,0.19264,0.71163,1.6041
